"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","TSN"
"1","Cryptacanthodes maculatus","Cryptacanthodes maculatus","species","Terrassier tacheté","Animalia","Chordata","Teleostei","Perciformes","Cryptacanthodidae","Cryptacanthodes","Cryptacanthodes maculatus",171609
"2","Lumpenus lampretaeformis","Lumpenus lampretaeformis","species","Lompénie-serpent","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis",631023
"3","Osmerus mordax","Osmerus mordax","species","Éperlan arc-en-ciel","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax",162041
"4","Apeltes quadracus","Apeltes quadracus","species","Épinoche à quatre épines","Animalia","Chordata","Teleostei","Gasterosteiformes","Gasterosteidae","Apeltes","Apeltes quadracus",166397
"5","Lithobates palustris","Lithobates palustris","species","Grenouille des marais","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates palustris",775107
"6","Notophthalmus viridescens","Notophthalmus viridescens","species","Triton vert","Animalia","Chordata","Amphibia","Caudata","Salamandridae","Notophthalmus","Notophthalmus viridescens",173615
"7","Cygnus columbianus","Cygnus columbianus","species","Cygne siffleur","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus columbianus",174987
"8","Sterna dougallii dougallii","Sterna dougallii dougallii","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii",176891
"9","Sterna dougallii","Sterna dougallii","species","Sterne de dougall","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna dougallii",176891
"10","Sterna hirundo","Sterna hirundo","species","Sterne pierregarin","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",176888
"11","Sterna hirundo hirundo","Sterna hirundo hirundo","subspecies","","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna hirundo",176888
"12","Sterna paradisaea","Sterna paradisaea","species","Sterne arctique","Animalia","Chordata","Aves","Charadriiformes","Laridae","Sterna","Sterna paradisaea",176890
"13","Eumesogrammus praecisus","Eumesogrammus praecisus","species","Quatre-lignes Atlantique","Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Eumesogrammus","Eumesogrammus praecisus",171601
"14","Acipenser oxyrinchus","Acipenser","genus","","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus",553269
"15","Acipenser oxyrinchus oxyrinchus","Acipenser oxyrinchus","species","Esturgeon noir","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus",553269
"16","Liopsetta putnami","Liopsetta putnami","species","Plie lisse","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Liopsetta","Pleuronectes putnami",172914
"17","Alopias vulpinus","Alopias vulpinus","species","Renard marin","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","Alopias vulpinus",159916
"18","Lithobates pipiens","Lithobates pipiens","species","Grenouille léopard","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens",775108
"19","Lithobates sylvaticus","Lithobates sylvaticus","species","Grenouille des bois","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates sylvaticus",775117
"20","Pseudacris crucifer","Pseudacris crucifer","species","Rainette crucifère","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris crucifer",207303
"21","Dryophytes versicolor","Dryophytes versicolor","species","","Animalia","Chordata","Amphibia","Anura","Hylidae","Dryophytes","Dryophytes versicolor",1095495
"22","Anaxyrus americanus","Anaxyrus americanus","species","Crapaud d'amérique","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus",773511
"23","Lithobates clamitans","Lithobates clamitans","species","","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates clamitans",775087
"24","Lithobates catesbeianus","Lithobates catesbeianus","species","Grenouille-taureau","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus",775084
"25","Delphinapterus leucas","Delphinapterus leucas","species","Béluga","Animalia","Chordata","Mammalia","Cetacea","Monodontidae","Delphinapterus","Delphinapterus leucas",180483
"26","Acipenser brevirostrum","Acipenser","genus","Esturgeon à museau court","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum",161069
"27","Acipenser fulvescens","Acipenser fulvescens","species","Esturgeon jaune","Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens",161071
"28","Falco peregrinus anatum","Falco peregrinus anatum","subspecies","","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",175604
"29","Falco peregrinus","Falco peregrinus","species","Faucon pèlerin","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",175604
"30","Desmognathus fuscus fuscus","Desmognathus fuscus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus fuscus",173633
"31","Desmognathus fuscus","Desmognathus fuscus","species","","Animalia","Chordata","Amphibia","Caudata","Plethodontidae","Desmognathus","Desmognathus fuscus",173633
"32","Eubalaena glacialis","Eubalaena glacialis","species","Baleine noire","Animalia","Chordata","Mammalia","Cetacea","Balaenidae","Eubalaena","Eubalaena glacialis",180537
"33","Carcharodon carcharias","Carcharodon carcharias","species","Requin blanc","Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias",159903
"34","Ammodytes dubius","Ammodytes dubius","species","Lançon du Nord","Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius",171674
"35","Amblyraja radiata","Amblyraja radiata","species","Raie épineuse","Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Amblyraja","Amblyraja radiata",564149
"36","Alosa sapidissima","Alosa sapidissima","species","Alose savoureuse","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa sapidissima",161702
"37","Alosa pseudoharengus","Alosa pseudoharengus","species","Gaspareau","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Alosa","Alosa pseudoharengus",161706
"38","Anarhichas minor","Anarhichas minor","species","Loup tacheté","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas minor",171342
"39","Anarhichas lupus","Anarhichas lupus","species","Loup Atlantique","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas lupus",171341
"40","Anarhichas denticulatus","Anarhichas denticulatus","species","Loup gélatineux","Animalia","Chordata","Teleostei","Perciformes","Anarhichadidae","Anarhichas","Anarhichas denticulatus",550561
"41","Artediellus uncinatus","Artediellus uncinatus","species","Hameçon neigeux","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Artediellus","Artediellus uncinatus",167207
"42","Centroscyllium fabricii","Centroscyllium fabricii","species","Aiguillat noir","Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Centroscyllium","Centroscyllium fabricii",160703
"43","Boreogadus saida","Boreogadus saida","species","Saida franc","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Boreogadus","Boreogadus saida",164706
"44","Aspidophoroides monopterygius","Aspidophoroides monopterygius","species","Poisson-alligator Atlantique","Animalia","Chordata","Teleostei","Scorpaeniformes","Agonidae","Aspidophoroides","Aspidophoroides monopterygius",167439
"45","Cottunculus microps","Cottunculus microps","species","Cotte polaire","Animalia","Chordata","Teleostei","Scorpaeniformes","Psychrolutidae","Cottunculus","Cottunculus microps",167408
"46","Clupea harengus","Clupea harengus","species","Hareng Atlantique","Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus",161722
"47","Enchelyopus cimbrius","Enchelyopus cimbrius","species","Motelle à quatre barbillons","Animalia","Chordata","Teleostei","Gadiformes","Lotidae","Enchelyopus","Enchelyopus cimbrius",164748
"48","Cyclopterus lumpus","Cyclopterus lumpus","species","Grosse poule de mer","Animalia","Chordata","Teleostei","Scorpaeniformes","Cyclopteridae","Cyclopterus","Cyclopterus lumpus",167612
"49","Nezumia bairdii","Nezumia bairdii","species","","Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Nezumia","Nezumia bairdii",165395
"50","Ardenna gravis","Puffinus gravis","species","Puffin majeur","Animalia","Chordata","Aves","Procellariiformes","Procellariidae","Puffinus","Puffinus gravis",174549
"51","Myxine glutinosa","Myxine glutinosa","species","Myxine du Nord","Animalia","Chordata","Myxini","Myxiniformes","Myxinidae","Myxine","Myxine glutinosa",159772
"52","Myoxocephalus scorpius","Myoxocephalus scorpius","species","Chaboisseau à épines courtes","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpius",167318
"53","Myoxocephalus scorpioides","Myoxocephalus scorpioides","species","Chaboisseau arctique","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus scorpioides",167317
"54","Myoxocephalus octodecemspinosus","Myoxocephalus octodecemspinosus","species","Chaboisseau à dix-huit épines","Animalia","Chordata","Teleostei","Scorpaeniformes","Cottidae","Myoxocephalus","Myoxocephalus octodecemspinosus",167320
"55","Merluccius bilinearis","Merluccius bilinearis","species","Merlu argenté","Animalia","Chordata","Teleostei","Gadiformes","Merlucciidae","Merluccius","Merluccius bilinearis",164791
"56","Melanostigma atlanticum","Melanostigma atlanticum","species","Mollasse Atlantique","Animalia","Chordata","Teleostei","Perciformes","Zoarcidae","Melanostigma","Melanostigma atlanticum",165296
"57","Melanogrammus aeglefinus","Melanogrammus aeglefinus","species","Aiglefin","Animalia","Chordata","Teleostei","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus",164744
"58","Mallotus villosus","Mallotus villosus","species","Capelan","Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Mallotus","Mallotus villosus",162035
"59","Malacoraja senta","Malacoraja senta","species","Raie à queue de velours","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Malacoraja","Malacoraja senta",564151
"60","Lophius americanus","Lophius americanus","species","Baudroie d'amérique","Animalia","Chordata","Teleostei","Lophiiformes","Lophiidae","Lophius","Lophius americanus",164499
"61","Myzopsetta ferruginea","Limanda","genus","","Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Limanda ferruginea",172909
